63,1.20 ,-1.27 ,180.14 ,-0.03 ,0.02 ,9.86,0,0,0
64,1.28 ,-1.28 ,180.14 ,-0.04 ,-0.04 ,9.88,0,0,0
65,1.19 ,-1.15 ,180.15 ,-0.01 ,0.00 ,9.79,0,0,0
66,1.27 ,-1.17 ,180.15 ,-0.03 ,-0.02 ,9.86,0,0,0
67,1.27 ,-1.22 ,180.15 ,-0.08 ,-0.00 ,9.87,0,0,0
68,1.23 ,-1.28 ,180.16 ,-0.03 ,0.00 ,9.79,0,0,0
69,1.33 ,-1.27 ,180.16 ,-0.01 ,-0.00 ,9.90,0,0,0
70,1.31 ,-1.32 ,180.17 ,-0.05 ,0.01 ,9.82,0,0,0
71,1.27 ,-1.38 ,180.17 ,-0.02 ,0.00 ,9.86,0,0,0
72,1.16 ,-1.27 ,180.18 ,-0.00 ,0.01 ,9.83,0,0,0
73,1.18 ,-1.32 ,180.18 ,-0.06 ,-0.01 ,9.81,0,0,0
74,1.25 ,-1.19 ,180.18 ,-0.01 ,0.00 ,9.85,0,0,0
75,1.18 ,-1.23 ,180.19 ,-0.05 ,0.02 ,9.81,0,0,0
76,1.13 ,-1.27 ,180.20 ,-0.06 ,0.02 ,9.84,0,0,0
77,1.24 ,-1.22 ,180.20 ,-0.01 ,0.01 ,9.84,0,0,0
78,1.16 ,-1.26 ,180.20 ,-0.02 ,0.01 ,9.81,0,0,0
79,1.26 ,-1.26 ,180.20 ,-0.02 ,-0.01 ,9.87,0,0,0
80,1.22 ,-1.31 ,180.20 ,-0.02 ,0.00 ,9.86,0,0,0
81,1.25 ,-1.37 ,180.21 ,-0.02 ,-0.00 ,9.84,0,0,0
82,1.18 ,-1.40 ,180.21 ,-0.04 ,0.02 ,9.89,0,0,0
83,1.14 ,-1.45 ,180.22 ,-0.06 ,0.01 ,9.82,0,0,0
84,1.17 ,-1.51 ,180.23 ,-0.03 ,-0.01 ,9.82,0,0,0
85,1.21 ,-1.34 ,180.24 ,0.04 ,-0.02 ,9.77,0,0,0
86,1.24 ,-1.18 ,180.24 ,0.10 ,-0.05 ,9.82,0,0,0
87,1.26 ,-1.24 ,180.24 ,-0.07 ,-0.01 ,9.80,0,0,0
88,1.27 ,-1.30 ,180.26 ,-0.17 ,-0.02 ,9.80,0,0,0
89,1.28 ,-1.35 ,180.30 ,-0.58 ,-0.07 ,9.70,0,0,0
90,1.38 ,-1.34 ,180.35 ,-0.06 ,-0.08 ,10.03,0,0,0
91,1.37 ,-1.14 ,180.38 ,0.44 ,-0.04 ,9.85,0,0,0
92,1.30 ,-0.99 ,180.39 ,0.31 ,0.21 ,9.71,0,0,0
93,1.25 ,-1.05 ,180.40 ,-0.04 ,0.02 ,9.84,0,0,0
94,1.33 ,-1.06 ,180.40 ,-0.04 ,-0.03 ,9.78,0,0,0
95,1.32 ,-0.89 ,180.39 ,0.13 ,0.01 ,9.79,0,0,0
96,1.36 ,-0.74 ,180.37 ,0.16 ,-0.08 ,9.83,0,0,0
97,1.26 ,-0.62 ,180.35 ,-0.02 ,-0.01 ,9.87,0,0,0
98,1.20 ,-0.68 ,180.32 ,-0.18 ,0.11 ,9.78,0,0,0
99,1.13 ,-0.73 ,180.29 ,-0.25 ,0.15 ,9.88,0,0,0
100,1.11 ,-0.78 ,180.27 ,-0.30 ,0.06 ,9.79,0,0,0
